"游戏编号","回合编号","说书人编号","说书人卡牌","提示词","提示词长度","回合结果","票数集中度","玩家编号","手牌","提交卡牌","投票目标","是否猜中","说书人得分","本回合得分","累计总分","是否获胜"
"game_01","game_01_round_01","you","card_0007","灯塔的回声","5","无人猜中","0.6667","you","card_0006|card_0005|card_0007|card_0004|card_0001|card_0008","card_0007","","","0","0","0","否"
"game_01","game_01_round_01","you","card_0007","灯塔的回声","5","无人猜中","0.6667","AI_Alice","card_000b|card_000e|card_000d|card_000h|card_000i|card_000c","card_000h","card_000j","否","0","4","4","是"
"game_01","game_01_round_01","you","card_0007","灯塔的回声","5","无人猜中","0.6667","AI_Bob","card_000m|card_000x|card_000k|card_000q|card_000n|card_000j","card_000j","card_000h","否","0","3","3","否"
"game_01","game_01_round_01","you","card_0007","灯塔的回声","5","无人猜中","0.6667","AI_Carol","card_000v|mock_38|card_000s|card_000u|mock_37|card_000r","card_000v","card_000h","否","0","2","2","否"
"game_01","game_01_round_02","AI_Alice","card_000z","紫雾的回声","5","部分猜中","0.6667","you","card_0006|card_0005|card_0004|card_0001|card_0008|card_0003","card_0005","card_000z","是","0","4","4","否"
"game_01","game_01_round_02","AI_Alice","card_000z","紫雾的回声","5","部分猜中","0.6667","AI_Alice","card_000b|card_000e|card_000d|card_000i|card_000c|card_000z","card_000z","","","3","3","7","是"
"game_01","game_01_round_02","AI_Alice","card_000z","紫雾的回声","5","部分猜中","0.6667","AI_Bob","card_000m|card_000x|card_000k|card_000q|card_000n|card_000y","card_000m","card_000z","是","0","3","6","否"
"game_01","game_01_round_02","AI_Alice","card_000z","紫雾的回声","5","部分猜中","0.6667","AI_Carol","mock_38|card_000s|card_000u|mock_37|card_000r|card_000w","mock_37","card_0005","否","0","0","2","否"
"game_01","game_01_round_03","AI_Bob","card_000q","燃烧的回声","5","部分猜中","0.3333","you","card_0006|card_0004|card_0001|card_0008|card_0003|card_0009","card_0003","card_000q","是","0","4","8","否"
"game_01","game_01_round_03","AI_Bob","card_000q","燃烧的回声","5","部分猜中","0.3333","AI_Alice","card_000b|card_000e|card_000d|card_000i|card_000c|card_0010","card_0010","card_000t","否","0","0","7","是"
"game_01","game_01_round_03","AI_Bob","card_000q","燃烧的回声","5","部分猜中","0.3333","AI_Bob","card_000x|card_000k|card_000n|card_000y|card_000p|card_000q","card_000q","","","3","3","9","否"
"game_01","game_01_round_03","AI_Bob","card_000q","燃烧的回声","5","部分猜中","0.3333","AI_Carol","mock_38|card_000s|card_000u|card_000r|card_000w|card_000t","card_000t","card_0003","否","0","1","3","否"
"game_01","game_01_round_04","AI_Carol","card_000r","水晶的回声","5","部分猜中","0.3333","you","card_0006|card_0004|card_0001|card_0008|card_0009|card_0002","card_0006","card_000r","是","0","4","12","否"
"game_01","game_01_round_04","AI_Carol","card_000r","水晶的回声","5","部分猜中","0.3333","AI_Alice","card_000b|card_000e|card_000d|card_000i|card_000c|card_000f","card_000e","card_0006","否","0","1","8","是"
"game_01","game_01_round_04","AI_Carol","card_000r","水晶的回声","5","部分猜中","0.3333","AI_Bob","card_000x|card_000k|card_000n|card_000y|card_000p|card_000l","card_000n","card_000e","否","0","0","9","否"
"game_01","game_01_round_04","AI_Carol","card_000r","水晶的回声","5","部分猜中","0.3333","AI_Carol","mock_38|card_000s|card_000u|card_000w|mock_39|card_000r","card_000r","","","3","3","6","否"
"game_01","game_01_round_05","you","card_0008","星尘的回声","5","部分猜中","0.6667","you","card_0004|card_0001|card_0008|card_0009|card_0002|card_000a","card_0008","","","3","3","15","否"
"game_01","game_01_round_05","you","card_0008","星尘的回声","5","部分猜中","0.6667","AI_Alice","card_000b|card_000d|card_000i|card_000c|card_000f|card_000g","card_000i","card_000u","否","0","0","8","是"
"game_01","game_01_round_05","you","card_0008","星尘的回声","5","部分猜中","0.6667","AI_Bob","card_000x|card_000k|card_000y|card_000p|card_000l|card_000o","card_000l","card_000u","否","0","0","9","否"
"game_01","game_01_round_05","you","card_0008","星尘的回声","5","部分猜中","0.6667","AI_Carol","mock_38|card_000s|card_000u|card_000w|mock_39|mock_40","card_000u","card_0008","是","0","5","11","否"
"game_01","game_01_round_06","AI_Alice","card_000b","火车的回声","5","部分猜中","0.6667","you","card_0004|card_0001|card_0009|card_0002|card_000a|card_0007","card_0001","card_000b","是","0","4","19","否"
"game_01","game_01_round_06","AI_Alice","card_000b","火车的回声","5","部分猜中","0.6667","AI_Alice","card_000d|card_000c|card_000f|card_000g|card_000e|card_000b","card_000b","","","3","3","11","是"
"game_01","game_01_round_06","AI_Alice","card_000b","火车的回声","5","部分猜中","0.6667","AI_Bob","card_000x|card_000k|card_000y|card_000p|card_000o|card_000l","card_000o","card_000b","是","0","3","12","否"
